address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
6001 AIRPORT BLVD Austin TX 78752,15.03,2015-02-04 00:00:00,Not cleared,4.0,AUTO THEFT,I,30.32936427457502,,6001 AIRPORT BLVD,-97.700502411477,Auto Theft,2015-01-30 00:00:00,2015300863.0,3122890.0,10091831.0,2015.0,78752.0
6929 AIRPORT BLVD Austin TX 78752,15.03,2015-04-28 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,6929 AIRPORT BLVD,-97.700502411477,Theft,2015-04-22 00:00:00,20155016975.0,3121678.0,10096228.0,2015.0,78752.0
(30.327536 -97.707569),15.03,2014-09-02 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,30.327536,(30.327536-97.707569),6600 MIDDLE FISKVILLE RD,-97.707569,Theft: Shoplifting,2014-08-26 00:00:00,20145038001.0,3124701.0,10092754.0,2014.0,78752.0
(30.338618 -97.692566),18.13,2014-09-03 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-09-02 00:00:00,20145038901.0,3129997.0,10096983.0,2014.0,78753.0
(30.330036 -97.691339),18.12,2014-12-01 00:00:00,Cleared by Arrest,4.0,AGG ROBBERY/DEADLY WEAPON,I,30.330036,(30.330036-97.691339),1306 MC KIE DR,-97.691339,Robbery,2014-11-14 00:00:00,20143181562.0,3130101.0,10093721.0,2014.0,78752.0
(30.338618 -97.692566),18.13,,,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-12-12 00:00:00,20143452019.0,3129997.0,10096983.0,2014.0,78753.0
(30.329285 -97.678317),18.11,2014-05-28 00:00:00,Not cleared,1.0,THEFT FROM AUTO,I,30.329285,(30.329285-97.678317),2104 E ANDERSON LN EB,-97.678317,Theft: BOV,2014-05-23 00:00:00,20145023117.0,3133246.0,10093738.0,2014.0,78752.0
5760 AIRPORT BLVD Austin TX 78752,15.03,2015-02-03 00:00:00,Not cleared,4.0,AGG ASSAULT,I,30.32936427457502,,5760 AIRPORT BLVD,-97.700502411477,Agg Assault,2015-01-29 00:00:00,2015291620.0,3122914.0,10090285.0,2015.0,78752.0
5621 N IH 35 SVRD NB Austin TX 78723,21.05,2015-07-27 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.32936427457502,,5621 N IH 35 SVRD NB,-97.700502411477,Theft,2015-07-26 00:00:00,20152071014.0,3125468.0,10088596.0,2015.0,78723.0
8624 RESEARCH BLVD SVRD SB Austin TX 78757,18.18,2015-02-17 00:00:00,Not cleared,7.0,BURGLARY NON RESIDENCE,I,30.32936427457502,,8624 RESEARCH BLVD SVRD SB,-97.700502411477,Burglary,2015-01-05 00:00:00,201550285.0,3121429.0,10105312.0,2015.0,78757.0
6808 N LAMAR BLVD Austin TX 78757,15.05,2015-07-14 00:00:00,Not cleared,7.0,THEFT,I,30.32936427457502,,6808 N LAMAR BLVD,-97.700502411477,Theft,2015-07-12 00:00:00,20151931345.0,3120711.0,10095638.0,2015.0,78757.0
(30.338618 -97.692566),18.13,2014-06-02 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: All Other Larceny,2014-06-02 00:00:00,20141530578.0,3129997.0,10096983.0,2014.0,78753.0
(30.338618 -97.692566),18.13,2014-04-12 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: Shoplifting,2014-04-11 00:00:00,20141011795.0,3129997.0,10096983.0,2014.0,78753.0
(30.309232 -97.707065),21.05,2014-01-24 00:00:00,Not cleared,4.0,AGG ASLT STRANGLE/SUFFOCATE,I,30.309232,(30.309232-97.707065),1206 E 52ND ST,-97.707065,Aggravated Assault,2014-01-15 00:00:00,2014150453.0,3125265.0,10086042.0,2014.0,78723.0
(30.315325 -97.66662),21.13,2015-02-02 00:00:00,Not cleared,1.0,AGG ROBBERY/DEADLY WEAPON,I,30.315325,(30.315325-97.66662),3200 SUSQUEHANNA LN,-97.66662,Robbery,2014-04-20 00:00:00,20141101207.0,3138022.0,10088427.0,2014.0,78723.0
600 E 53RD ST Austin TX 78751,15.03,2015-11-22 00:00:00,Not cleared,4.0,AUTO THEFT,I,30.32936427457502,,600 E 53RD ST,-97.700502411477,Auto Theft,2015-11-20 00:00:00,20153240586.0,3122091.0,10088352.0,2015.0,78751.0
Austin TX 78751,21.05,2014-04-23 00:00:00,Cleared by Arrest,4.0,AGG ROBBERY/DEADLY WEAPON,I,30.32936427457502,,5660 N IH 35 SVRD SB,-97.700502411477,Robbery,2014-03-04 00:00:00,2014631645.0,3124871.0,10088946.0,2014.0,78751.0
Austin TX 78751,21.05,2014-05-26 00:00:00,Cleared by Arrest,4.0,AGG ASLT STRANGLE/SUFFOCATE,I,30.32936427457502,,5526 N IH 35 SVRD SB,-97.700502411477,Aggravated Assault,2014-05-18 00:00:00,20141380443.0,3124751.0,10088183.0,2014.0,78751.0
(30.313359 -97.693034),21.04,,,4.0,THEFT,I,30.313359,(30.313359-97.693034),5900 BERKMAN DR,-97.693034,Theft: All Other Larceny,2014-03-15 00:00:00,20145011705.0,3129585.0,10087538.0,2014.0,78723.0
(30.321799 -97.695082),18.12,2014-11-19 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.321799,(30.321799-97.695082),6600 CAMERON RD,-97.695082,Theft: Shoplifting,2014-11-18 00:00:00,20143221884.0,3128920.0,10090721.0,2014.0,78752.0
7227 E US 290 HWY SVRD EB Austin TX 78723,21.12,2015-01-08 00:00:00,Not cleared,1.0,THEFT,I,30.32936427457502,,7227 E US 290 HWY SVRD EB,-97.700502411477,Theft,2015-01-06 00:00:00,20155000660.0,3133388.0,10091038.0,2015.0,78723.0
(30.319094 -97.69137),21.04,2014-04-29 00:00:00,Cleared by Exception,1.0,AGG ASSAULT FAM/DATE VIOLENCE,I,30.319094,(30.319094-97.69137),1607 WHELESS LN,-97.69137,Aggravated Assault,2014-04-28 00:00:00,20141181763.0,3130074.0,10089632.0,2014.0,78723.0
(30.361815 -97.717278),18.18,2014-10-09 00:00:00,Not cleared,7.0,BURGLARY NON RESIDENCE,I,30.361815,(30.361815-97.717278),8600 RESEARCH BLVD NB,-97.717278,"Burglary / ",,,,,,
1315 PAYNE AVE Austin TX 78757,15.05,2015-05-06 00:00:00,Not cleared,7.0,BURGLARY OF VEHICLE,I,30.32936427457502,,1315 PAYNE AVE,-97.700502411477,Theft,2015-05-04 00:00:00,20155018915.0,3118052.0,10095357.0,2015.0,78757.0
Austin TX 78752,18.12,2014-08-04 00:00:00,Not cleared,4.0,THEFT FROM PERSON,I,30.32936427457502,,6355 N IH 35 SVRD NB,-97.700502411477,Theft: Pocket Picking,2014-08-02 00:00:00,20142141103.0,3125591.0,10091854.0,2014.0,78752.0
6528 N LAMAR BLVD Austin TX 78757,15.05,2015-11-03 00:00:00,Not cleared,7.0,THEFT,I,30.32936427457502,,6528 N LAMAR BLVD,-97.700502411477,Theft,2015-10-31 00:00:00,20153040734.0,3120355.0,10094774.0,2015.0,78757.0
1504 E 51ST ST Austin TX 78723,21.05,2016-01-06 00:00:00,Not cleared,4.0,THEFT FROM PERSON,I,30.32936427457502,,1504 E 51ST ST,-97.700502411477,Theft,2015-12-30 00:00:00,20158004688.0,3126997.0,10084656.0,2015.0,78723.0
(30.338618 -97.692566),18.13,2015-01-23 00:00:00,Not cleared,4.0,THEFT,I,30.338618,(30.338618-97.692566),1030 NORWOOD PARK BLVD,-97.692566,Theft: All Other Larceny,2014-05-24 00:00:00,20145023225.0,3129997.0,10096983.0,2014.0,78753.0
Austin TX 78723,21.05,2014-06-16 00:00:00,Not cleared,1.0,AUTO THEFT,I,30.32936427457502,,900 BLOCK CLAYTON LN,-97.700502411477,Auto Theft,2014-06-13 00:00:00,20141640483.0,3125998.0,10089773.0,2014.0,78723.0
(30.332223 -97.703051),15.03,2014-03-11 00:00:00,Not cleared,4.0,RAPE,I,30.332223,(30.332223-97.703051),,-97.703051,Rape,2014-01-09 00:00:00,201490705.0,,,2014.0,78752.0
(30.371858 -97.724216),18.18,,,7.0,BURGLARY OF VEHICLE,I,30.371858,(30.371858-97.724216),9012 RESEARCH BLVD SVRD SB,-97.724216,Theft: BOV,2014-10-17 00:00:00,20142902311.0,3119220.0,10108622.0,2014.0,78757.0
